Italian,English
e ,And
non ,Not
che ,That
di ,Of
la ,there
il ,The
un ,a
a ,to
per ,For
Š ,And
in ,in
una ,a
ho ,I have
l' ,L'
si ,Yes
ha ,has
ma ,but
lo ,the
cosa ,What
con ,with
no ,no
ti ,you
se ,self
da ,from
i ,the
come ,as
io ,I
ci ,There
hai ,you have
questo ,This
bene ,Well
qui ,here
del ,of the
mio ,my
al ,to the
me ,myself
tutto ,All
c' ,there
te ,you
era ,era
della ,from the
mia ,my
fatto ,Done
fare ,Do
essere ,to be
so ,I know
quando ,when
s ,Yes
ora ,Now
lei ,she
gli ,The
ne ,neither
oh ,Oh
questa ,this
detto ,said
ok ,ok
va ,it goes
perche ,Why
quello ,that
alla ,at the
o ,or
anche ,Also
stato ,state
abbiamo ,we have
tutti ,everyone
dei ,of the
grazie ,Thank you
chi ,who
molto ,Very
pi— ,more
voglio ,I want
perch‚ ,Why
tuo ,your
beh ,Well
sia ,is
nel ,In the
lui ,he
allora ,At that time
posso ,I can
piu ,more
ehi ,Hey
prima ,Before
tua ,your
suo ,his
niente ,Nothing
qualcosa ,something
sai ,you know
siamo ,we are
un' ,a
cosi ,Like this
davvero ,Really
